level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2016-12-02,1,279,9,1,252,10
2,2016-12-02,6,213,7,6,319,9
2,2016-12-02,8,144,8,10,249,9
2,2016-12-02,13,177,7,13,262,10
2,2016-12-02,10,120,7,10,186,7
2,2016-12-02,7,156,9,16,515,16
2,2016-12-02,4,44,4,7,88,6
2,2016-12-02,4,60,5,6,146,6
2,2016-12-02,3,154,7,5,317,11
2,2016-12-02,4,211,9,5,332,10
2,2016-12-02,4,162,6,6,435,11
2,2016-12-02,2,198,8,1,213,10
2,2016-12-02,10,187,7,10,384,12
2,2016-12-02,5,59,5,7,174,7
2,2016-12-02,14,70,5,13,170,7
2,2016-12-02,6,213,9,6,211,8
2,2016-12-02,6,149,6,10,214,7
2,2016-12-02,7,161,8,8,300,10
2,2016-12-02,7,100,6,8,127,7
2,2016-12-02,7,134,7,7,231,8
2,2016-12-02,4,39,3,10,493,6
2,2016-12-02,13,27,3,10,155,6
2,2016-12-02,12,198,9,11,272,12
2,2016-12-02,11,53,5,9,160,8
2,2016-12-02,0,4,2,0,10,1
2,2016-12-02,14,363,8,13,428,8
2,2016-12-02,6,37,4,6,115,7
2,2016-12-02,15,30,4,18,227,8
2,2016-12-02,12,108,7,17,396,10
2,2016-12-02,5,97,7,7,219,9
2,2016-12-02,4,66,5,5,180,7
2,2016-12-02,6,124,8,5,347,12
2,2016-12-02,2,103,6,32,744,15
2,2016-12-02,2,90,6,4,167,7
2,2016-12-02,8,189,6,10,264,8
2,2016-12-02,6,45,4,5,155,7
2,2016-12-02,6,54,5,6,131,7
2,2016-12-02,5,401,7,7,552,8
2,2016-12-02,9,106,7,9,290,10
2,2016-12-02,6,29,4,12,134,7
2,2016-12-02,13,156,8,21,633,13
2,2016-12-02,2,43,5,5,171,8
2,2016-12-02,13,161,6,22,512,11
2,2016-12-02,5,52,4,8,139,7
2,2016-12-02,5,106,6,7,272,9
2,2016-12-02,8,230,9,18,529,15
2,2016-12-02,9,218,8,7,148,6
2,2016-12-02,7,429,9,8,382,8
2,2016-12-02,13,116,5,11,161,7
2,2016-12-02,10,86,5,15,376,12
2,2016-12-02,10,93,6,10,174,8
2,2016-12-02,14,31,4,15,181,9
2,2016-12-02,8,87,6,24,339,12
2,2016-12-02,8,329,9,18,765,14
2,2016-12-02,20,178,8,16,255,9
2,2017-04-03,12,381,11,19,1509,19
2,2017-04-03,6,144,6,0,168,7
2,2017-04-03,4,100,5,5,152,6
2,2017-04-03,0,125,7,0,202,6
2,2017-04-03,10,388,12,9,688,14
2,2017-04-03,9,59,4,10,114,6
2,2017-04-03,8,241,11,19,410,12
2,2017-04-03,1,152,3,10,229,4
2,2017-04-03,3,141,6,8,606,14
2,2017-04-03,8,76,6,13,172,9
2,2017-04-03,5,336,11,4,593,13
2,2017-04-03,7,79,5,33,536,11
2,2017-04-03,7,25,4,9,97,6
2,2017-04-03,2,42,5,5,123,6
2,2017-04-03,5,27,4,6,72,6
2,2017-04-03,5,111,6,6,201,7
2,2017-04-03,1,88,7,1,183,9
2,2017-04-03,5,102,7,4,204,8
2,2017-04-03,14,188,8,16,412,11
2,2017-04-03,7,83,6,13,339,10
